Titre,subtext,subtext1,date,description,information,motclé,textlink,btn_lien
"
Technicien support informatique",immédiate,Profil mis à jour le 14/11/2024,le 14/11/2024,"Je souhaite mettre en avant mes compétences au service de votre entreprise en terme d'autonomie, curiosité et de rigueur  en tant que Technicien ...",,,Pourquoi ce candidat ?,https://entreprise.francetravail.fr/recherche-profil/rechercheprofil.blocelementprofil:eventredirectionauthentajoutcvfromminicv/1209619046/13363718
Diplômé Licence Informatique Générale,immédiate,Profil mis à jour le 14/11/2024,le 14/11/2024,"Diplômé d'une licence en informatique générale, je suis à la recherche d'un emploi pour mettre à profit les compétences et connaissances acquises au ...",,,Pourquoi ce candidat ?,https://entreprise.francetravail.fr/recherche-profil/rechercheprofil.blocelementprofil:eventredirectionauthentajoutcvfromminicv/8219496814/17152805
Agent Administratif et informatique,immédiate,Profil mis à jour le 14/11/2024,le 14/11/2024,"Rigoureux, polyvalent et organisé.",Points forts,"Assurer un accueil téléphonique
Gestion administrative
Gestion administrative du courrier
Procéder à l'enregistrement, au tri, à l'affranchissement du courrier
Utiliser les outils numériques",Pourquoi ce candidat ?,https://entreprise.francetravail.fr/recherche-profil/rechercheprofil.blocelementprofil:eventredirectionauthentajoutcvfromminicv/1303500836/1732239
Technicien de maintenance en informatique,immédiate,Profil mis à jour le 14/11/2024,le 14/11/2024,"Dans le cadre de mes études, j'ai acquis 3 ans d'expérience en tant que technicien de proximité (obtention du  BAC pro systèmes numériques). Je ...",,,Pourquoi ce candidat ?,https://entreprise.francetravail.fr/recherche-profil/rechercheprofil.blocelementprofil:eventredirectionauthentajoutcvfromminicv/2190361016/16963228
Technicien support informatique,immédiate,Profil mis à jour le 14/11/2024,le 14/11/2024,"Je souhaite mettre en avant mes compétences au service de votre entreprise en terme d'autonomie, curiosité et de rigueur  en tant que Technicien ...",,,Pourquoi ce candidat ?,https://entreprise.francetravail.fr/recherche-profil/rechercheprofil.blocelementprofil:eventredirectionauthentajoutcvfromminicv/1209619046/13363718
Technicien Informatique,immédiate,Profil mis à jour le 14/11/2024,le 14/11/2024,"Technicien informatique passioné, je suis à la recherche de nouvelles opportunités pour mettre mes compétences au service d'une entreprise ...",,,Pourquoi ce candidat ?,https://entreprise.francetravail.fr/recherche-profil/rechercheprofil.blocelementprofil:eventredirectionauthentajoutcvfromminicv/2182880756/16620436
A la recherche d'un emploi de support technique dans l'informatique,immédiate,Profil mis à jour le 14/11/2024,le 14/11/2024,"Sachant que votre poste de support technique m’intéresse, ce serait avec un grand honneur que je vais vous exposer mon savoir-faire ainsi que toutes ...",,,Pourquoi ce candidat ?,https://entreprise.francetravail.fr/recherche-profil/rechercheprofil.blocelementprofil:eventredirectionauthentajoutcvfromminicv/8191294188/17350377
Technicien support informatique niveau 1,immédiate,Profil mis à jour le 14/11/2024,le 14/11/2024,"Très bonne maitrise du PC sous Windows comprenant le hardware et l'OS, apte à apprendre rapidement et facilité à travailler en équipe. Je suis ...",Points forts,"Avoir le sens du service
Faire preuve de persévérance
S'adapter aux changements
Informer les clients des problèmes techniques relevés et des réparations à apporter
Anglais",Pourquoi ce candidat ?,https://entreprise.francetravail.fr/recherche-profil/rechercheprofil.blocelementprofil:eventredirectionauthentajoutcvfromminicv/1391216704/2206972
"
Chef de projet informatique / Formateur 'Grande école du numérique' / Enseignant mathématiques et informatique / Formateur multimédia",immédiate,Profil mis à jour le 14/11/2024,le 14/11/2024,"- Diplôme RNCP de niveau 6 (Bac+4)/Chef de projet multimédia. - Professeur TIM et Mathématiques (CAP, 2nde générale, Bac Techno, Bac Pro et BTS). - ...",,,Pourquoi ce candidat ?,https://entreprise.francetravail.fr/recherche-profil/rechercheprofil.blocelementprofil:eventredirectionauthentajoutcvfromminicv/1149179028/849906
Développeur web / testeur informatique,immédiate,Profil mis à jour le 14/11/2024,le 14/11/2024,"Développeur et testeur QA, je suis passionné par le codage et l'innovation. Je suis à la recherche d'opportunités afin de mettre  mes compétences en ...",Points forts,"Cypress
Postman
Node.js
React JS
Javascript",Pourquoi ce candidat ?,https://entreprise.francetravail.fr/recherche-profil/rechercheprofil.blocelementprofil:eventredirectionauthentajoutcvfromminicv/1298724953/6137870
Technicien Informatique,immédiate,Profil mis à jour le 14/11/2024,le 14/11/2024,"Titulaire d'un BTS Services Informatiques aux Organisations Spécialité Systèmes et Réseaux, et ayant une expérience professionnelle d'un an et demi ...",Points forts,"Faire preuve de rigueur et de précision
Installer et intégrer le matériel (station, équipement réseau, périphériques, ...) dans l'environnement de production et configurer les ressources logistiques et physiques
Diagnostiquer la nature et l'origine des incidents et mettre en oeuvre les mesures correctives
Installer un équipement informatique
Réaliser les interventions de télémaintenance",Pourquoi ce candidat ?,https://entreprise.francetravail.fr/recherche-profil/rechercheprofil.blocelementprofil:eventredirectionauthentajoutcvfromminicv/8136624994/11203254
Administrateur réseau / Technicien réseau - informatique / Developpeur Web,immédiate,Profil mis à jour le 14/11/2024,le 14/11/2024,"Administrateur réseau et technicien informatique, j'ai récemment complété une formation en Web/Webmobile. Mon expertise allie technique et ...",Points forts,"Diagnostiquer à distance un dysfonctionnement informatique matériel ou logiciel
Gestion de parc informatique
Réaliser une veille technique ou technologique pour anticiper les évolutions
Rédiger un script
Anglais",Pourquoi ce candidat ?,https://entreprise.francetravail.fr/recherche-profil/rechercheprofil.blocelementprofil:eventredirectionauthentajoutcvfromminicv/8197329847/15786118
"
Actuellement au CFA Aston je suis à la recherche d’un contrat en apprentissage en tant que technicien informatique",immédiate,Profil mis à jour le 14/11/2024,le 14/11/2024,3 ans d’expérience à l’aéroport d’orly en tant que PHMR (aide aux personnes handicapées ou à mobilités réduites),,,Pourquoi ce candidat ?,https://entreprise.francetravail.fr/recherche-profil/rechercheprofil.blocelementprofil:eventredirectionauthentajoutcvfromminicv/8181611292/17133160
"Mediatrice en informatique,numérique,et bureautique",immédiate,Profil mis à jour le 14/11/2024,le 14/11/2024,"Je suis à la recherche d'un poste en mediatrice en informaique,numerique et bureautique , je suis polyvalente grâce à mes expériences. Je suis ...",Points forts,"Être à l'écoute, faire preuve d'empathie
Organiser son travail selon les priorités et les objectifs
Travailler en équipe
Règles d'hygiène et de sécurité
Français",Pourquoi ce candidat ?,https://entreprise.francetravail.fr/recherche-profil/rechercheprofil.blocelementprofil:eventredirectionauthentajoutcvfromminicv/1262265929/13059619
DÉPANNEUR / TECHNICIEN  MAINTENANCE INFORMATIQUE / HELPDESK,immédiate,Profil mis à jour le 14/11/2024,le 14/11/2024,"- Fort d’une expérience professionnelle diversifiée, j’ai pu faire preuves de capacités d’adaptation au sein de l’entreprise, expérience qui m’a ...",,,Pourquoi ce candidat ?,https://entreprise.francetravail.fr/recherche-profil/rechercheprofil.blocelementprofil:eventredirectionauthentajoutcvfromminicv/1181805942/13747198
Etudiant en master Informatique parcours Machine Learning pour la science des données à l'université Paris Cité,immédiate,Profil mis à jour le 14/11/2024,le 14/11/2024,"Fort d'une expérience de deux ans en alternance en tant que Data Analyst, spécialisé en analyse de données, création de tableaux de bord et ...",,,Pourquoi ce candidat ?,https://entreprise.francetravail.fr/recherche-profil/rechercheprofil.blocelementprofil:eventredirectionauthentajoutcvfromminicv/8189975565/17352299
Technique support informatique,immédiate,Profil mis à jour le 14/11/2024,le 14/11/2024,Sortant de la formation en Licence générale informatique. Très bon sens relationnel avec le client (téléphonique et physique) ; maîtrise de gestion ...,,,Pourquoi ce candidat ?,https://entreprise.francetravail.fr/recherche-profil/rechercheprofil.blocelementprofil:eventredirectionauthentajoutcvfromminicv/8191294188/17350377
